;eid;doi;pii;pubmed_id;title;subtype;subtypeDescription;creator;afid;affilname;affiliation_city;affiliation_country;author_count;author_names;author_ids;author_afids;coverDate;coverDisplayDate;publicationName;issn;source_id;eIssn;aggregationType;volume;issueIdentifier;article_number;pageRange;description;authkeywords;citedby_count;openaccess;freetoread;freetoreadLabel;fund_acr;fund_no;fund_sponsor
205;2-s2.0-85120996988;10.1016/j.cimid.2021.101736;S0147957121001284;34906907;Assessment of the hemagglutinating activity of the Porcine orthorubulavirus;ar;Article;Albarrán-Rodriguez R.R.;"60032442;60017983;60010210;60004064";"Universidad Nacional Autónoma de México;Instituto Nacional de Investigaciones Forestales, Agricolas y Pecuarias;Universidad Autónoma Metropolitana Unidad Xochimilco;SSA Mexico";"Ciudad de México;Santa Catarina;Mexico City;Mexico City";"Mexico;Mexico;Mexico;Mexico";8;"Albarrán-Rodriguez, Ricardo Rodrigo;Castillo-Juarez, Hector;Rivera-Benítez, Francisco;Campos-Montes, Gabriel R.;Espinosa, Blanca;Madrigal-Valencia, Tania Lucia;Jimenez, Erika Nayeli Salazar;Ramírez-Mendoza, Humberto";"57370412500;6603205945;57369488100;56013622300;55993761400;57225889056;57370412600;56013852900";"60032442;60010210;60017983;60010210;60004064;60032442;60032442;60032442";2022-01-01;January 2022;Comparative Immunology, Microbiology and Infectious Diseases;01479571;19660;18781667;Journal;80;;101736;;Blue eye disease (BED) in pigs is caused by Porcine orthorubulavirus (PRV) of the Paramyxoviridae family. It is an endemic disease in swine production in the central region of Mexico and causes nervous signs and high mortality in suckling pigs, pneumonia in growing pigs, orchitis in boars and mummification during gestation. PRV hemagglutinates most red blood cells (RBCs) of domestic species. For serological diagnosis, the hemagglutination inhibition test is used, and in this test, guinea pig, bovine and chicken RBCs have been commonly used. In this investigation, hemagglutination with PRV was evaluated using the RBCs of seven domestic species (chicken, bovine, horse, pig, dog, guinea pig and rabbit). In the hemagglutination test, the following parameters were evaluated: temperature (25 °C and 37 °C), bottoms of the wells (V and U), erythrocyte concentration (0.5%, 0.75%, and 1%), and reading time (15, 30, 45, 60 and 90 min). Significant differences (P < 0.001) were found in most of the evaluated treatments. The best hemagglutination results were obtained with chicken, bovine and horse RBCs. The hemagglutination titer is higher (2 dilutions) when using chicken RBCs than when using bovine or horse RBCs. If chicken RBCs are used in the inhibition of hemagglutination, the test will be more sensitive, while it is more specific when bovine or horse RBCs are used. The hemagglutination readings are imprecise when using RBCs from dogs, pigs, guinea pigs and rabbits. RBCs from these species should not be used for the diagnosis or investigation of PRV.;Blue eye disease | Diagnosis | Hemagglutinating activity | Porcine orthorubulavirus;0;0;;;;IT-201918;
206;2-s2.0-85120989914;10.1080/19382014.2021.2008742;;34875977;IsletLab: an application to reconstruct and analyze islet architectures;ar;Article;Félix-Martínez G.J.;"60027998;60014923";"Consejo Nacional de Ciencia y Tecnologia Mexico;Universidad Autónoma Metropolitana";"Benito Juarez;Mexico City";"Mexico;Mexico";1;Félix-Martínez, Gerardo J.;56326366800;60027998-60014923;2022-01-01;2022;Islets;19382014;19700174944;19382022;Journal;14;1;;36-39;The continuous interaction between experimental and theoretical work has proven to be extremely useful for the study of pancreatic cells and, recently, of pancreatic islets. This prolific interaction relies on the capability of implementing computational models and methods to derive quantitative data for the analysis and interpretation of experimental observations. In this addendum I introduce Isletlab, a multiplatform application developed to provide the research community with a user-friendly interface for the implementation of computational algorithms for the characterization and simulation of pancreatic islets.;computational | computational modeling | connectivity | islet architecture | networks | reconstructing;4;1;repositoryvor;Green;CONACYT;CVU 302514;Consejo Nacional de Ciencia y Tecnología
207;2-s2.0-85120806067;10.32604/biocell.2022.016988;;;Mechanical and histological properties of an electrospun scaffold with a modified surface by plasma polymerization implanted in an in vivo model;ar;Article;Flores-Sánchez M.G.;"60014923;127349057;107895173";"Universidad Autónoma Metropolitana;University La Salle México;Children's Hospital of Mexico Federico Gomez";"Mexico City;La Salle;Mexico City";"Mexico;Mexico;Mexico";5;"Flores-Sánchez, María G.;Olayo, Roberto;Morales-Corona, J.;Raya-Rivera, Atlántida M.;Esquiliano-Rendón, Diego R.";"57195735883;7004460174;26655036900;55993738200;57195740956";"127349057;60014923;60014923;107895173;107895173";2022-01-01;2022;Biocell;03279545;18414;16675746;Journal;46;3;;529-536;"This article presents the construction of scaffolds composed of polylactic acid (PLA) with different concentrations of hydroxyapatite (HA) by electrospinning, which were superficially modified with polypyrrole (PPy/I) by plasma polymerization. A preliminary study was conducted of the biological and mechanical behavior of the scaffolds when they were implanted in the back of rabbits for 30 days; bone cells differentiated from mesenchymal stem cells (MSCs) were used. The bone cell and scaffold structures were characterized by histological, immunohistochemical, and mechanical stress tests. Hematoxylin–eosin staining showed good tissue conformation. The immunohistochemical tests highlighted the presence of the main bone tissue proteins, such as collagen, osteocalcin, and osteopontin. The PLA/HA scaffolds were observed to exhibit cell adhesion and proliferation properties; however, the response was much better in the scaffolds that had a higher concentration of HA and that were coated with PPy/I. The results of the mechanical tests of the scaffolds indicated that the plasma treatment improved the adhesion and cell proliferation properties and contributed to the mechanical support, allowing the formation of neotissues with good viability of cell growth.";Electrospinning | Hydroxyapatite | Polylactic acid | Pyrrole | Surface activation;0;1;publisherfullgold;Gold;CONACYT;EC388-IMC-13/18;Consejo Nacional de Ciencia y Tecnología
208;2-s2.0-85120739745;10.1016/j.foodres.2021.110821;S0963996921007213;34980373;Betalain plant sources, biosynthesis, extraction, stability enhancement methods, bioactivity, and applications;re;Review;Carreón-Hidalgo J.P.;60014923;Universidad Autónoma Metropolitana;Mexico City;Mexico;4;"Carreón-Hidalgo, Juan Pablo;Franco-Vásquez, Diana Carolina;Gómez-Linton, Darío R.;Pérez-Flores, Laura J.";"57365034500;57219257314;57209241345;7801521790";"60014923;60014923;60014923;60014923";2022-01-01;January 2022;Food Research International;09639969;23180;18737145;Journal;151;;110821;;Betalains are plant pigments with functional properties used mainly as food dyes. However, they have been shown to be unstable to different environmental factors. This paper provides a review of (1) Betalain plant sources within several plant families such as Amaranthaceae, Basellaceae, Cactaceae, Portulacaceae, and Nyctaginaceae, (2) The biosynthesis pathway of betalains for both betacyanins and betaxanthins, (3) Betalain extraction process, including non-conventional technologies like microwave-assisted, ultrasound-assisted, and pulsed electrical field extraction, (4) Factors affecting their stability, mainly temperature, water activity, light incidence, as well as oxygen concentration, metals, and the presence of antioxidants, as well as activation energy as a mean to assess stability, and novel food-processing technologies able to prevent betalain degradation, (5) Methods to increase shelf life, mainly encapsulation by spray drying, freeze-drying, double emulsions, ionic gelation, nanoliposomes, hydrogels, co-crystallization, and unexplored methods such as complex coacervation and electrospraying, (6) Biological properties of betalains such as their antioxidant, hepatoprotective, antitumoral, and anti-inflammatory activities, among others, and (7) Applications in foods and other products such as cosmetics, textiles and solar cells, among others. Additionally, study perspectives for further research are provided for each section.;Applications | Betalains | Biological properties | Biosynthesis | Encapsulation | Extraction | Plant sources | Stability;6;0;;;CONACYT;68991;Consejo Nacional de Ciencia y Tecnología
209;2-s2.0-85119582354;10.1111/jfbc.14013;;34811755;Myristic acid reduces skin inflammation and nociception;ar;Article;Alonso-Castro A.J.;"60033291;60014923;60008943";"Universidad de Guanajuato;Universidad Autónoma Metropolitana;Universidad de Guadalajara";"Guanajuato;Mexico City;Guadalajara";"Mexico;Mexico;Mexico";5;"Alonso-Castro, Angel Josabad;Serrano-Vega, Roberto;Pérez Gutiérrez, Salud;Isiordia-Espinoza, Mario Alberto;Solorio-Alvarado, Cesar Rogelio";"24178778100;55681670400;55547707400;37114556400;6507865507";"60033291;60014923;60014923;60008943;60033291";2022-01-01;January 2022;Journal of Food Biochemistry;01458884;20580;17454514;Journal;46;1;e14013;;This study evaluated the inhibitory effect of myristic acid (MA) on models of inflammation and nociception. The in vitro anti-inflammatory activities of MA were assessed on LPS-stimulated macrophages, membrane stabilization assay, and inhibition of protein denaturation, whereas the inhibitory activity of MA on in vivo inflammation was assessed on TPA-induced ear edema using acute and chronic assays in mice. The inhibitory effect of MA on nociception was assessed using three in vivo models. MA exerted in vitro anti-inflammatory activity by the increase (58%) in the production of IL-10 in LPS-stimulated macrophages. In the in vivo assay, MA showed good anti-inflammatory effects on the acute (ED50 = 62 mg/kg) and chronic (ED50 = 77 mg/kg) TPA-induced ear edema. The antinociceptive activity of MA was related to the participation of the nitrergic system in the formalin-induced paw licking test. Practical applications: Previous studies with different plant extracts containing MA, as one of their major components, have demonstrated anti-inflammatory and antinociceptive actions. However, the anti-inflammatory and antinociceptive actions of myristic acid have not been previously reported. The results suggest that MA induced anti-inflammatory effects in LPS-stimulated macrophages through the participation of IL-10. The antinociceptive effects of MA are attributed to the participation of the nitrergic system.;;4;0;;;;undefined;
210;2-s2.0-85119397640;10.1080/14786419.2021.2005592;;34789033;Isolation, chemical characterization, and anti-inflammatory activity of coumarins, flavonoids, and terpenes from Tagetes lucida;ar;Article;Sandra Liliana P.D.;"60025626;60014923;60008467";"Universidad Autónoma del Estado de Morelos;Universidad Autónoma Metropolitana;Instituto Mexicano del Seguro Social";"Cuernavaca;Mexico City;Mexico City";"Mexico;Mexico;Mexico";8;"Sandra Liliana, Porras Dávila;Manasés, González Cortazar;Enrique, Jiménez Ferrer;Rubén, Román Ramos;Cinthya, Bello Peralta;Belen, Martínez Hernández Gabriela;Alejandro, Zamilpa;Maribel, Herrera Ruiz";"57347241400;57205350061;12244113100;57525939100;57346928400;57346928500;55995895500;57205347829";"60014923-60008467;60008467;60008467;60014923;60008467-60025626;60008467;60008467;60008467";2022-01-01;2022;Natural Product Research;14786419;24819;14786427;Journal;36;18;;4751-4756;"Tagetes lucida is widely used in traditional Mexican medicine for several disorders, including those associated with inflammation. In this work, fifteen compounds were identified (1–15) from T. lucida. Some of these compounds (1–8, 10, 12–14) were detected for the first time in the plant, and quercetagetin 7-O-β-(6’’-Protocatecoyl) glucopyranoside (13) has been identified for any plant species. The inflammation inhibition effects of these compounds were as follows: Amix (1–2) > 10 > 12a > 13 > 14a > Bmix (3–9) > 12; 12 and 13 showed a dose-response behavior. The mixture of 14 and 15 was not active. This work contributes to the knowledge of the anti-inflammatory capacity of T. lucida and the chemical identity of their bioactive compounds.";anti-inflammatory | coumarins | flavonoids | Tagetes lucida | terpenes;3;0;repositoryam;Green;CONACYT;FIS/IMSS/PROT/PRIO/19/108;Consejo Nacional de Ciencia y Tecnología
211;2-s2.0-85118144650;10.1080/19382014.2021.1987827;;34689719;Comparative analysis of reconstructed architectures from mice and human islets;ar;Article;Félix-Martínez G.J.;"60027998;60014923";"Consejo Nacional de Ciencia y Tecnologia Mexico;Universidad Autónoma Metropolitana";"Benito Juarez;Mexico City";"Mexico;Mexico";2;"Félix-Martínez, Gerardo J.;Godínez-Fernández, J. R.";"56326366800;6505991168";"60027998-60014923;60014923";2022-01-01;2022;Islets;19382014;19700174944;19382022;Journal;14;1;;23-35;Intra-islet communication via electrical, paracrine and autocrine signals, is highly dependent on the organization of cells within the islets and is key for an adequate response to changes in blood glucose and other stimuli. In spite of the fact that relevant structural differences between mouse and human islet architectures have been described, the functional implications of these differences remain only partially understood. In this work, aiming to contribute to a better understanding of the relationship between structural and functional properties of pancreatic islets, we reconstructed human and mice islets in order to perform a structural comparison based on both morphologic and network-derived metrics. According to our results, human islets constitute a more efficient network from a connectivity viewpoint, mainly due to the higher proportion of heterotypic contacts between islet cells in comparison to mice islets.;architecture | cell-to-cell contact | network | Pancreatic islets | reconstruction;4;1;repositoryvor;Green;CONACYT;undefined;Consejo Nacional de Ciencia y Tecnología
212;2-s2.0-85110885837;10.1080/10242422.2021.1952192;;;Regioselective synthesis of 6’’-O-lauroyl-1-kestose and 6’’’-O-lauroylnystose by sequential enzymatic reactions of transfructosylation and acylation;ar;Article;Campos-Valdez A.R.;"60069653;60043678;60024080;60015043";"Centro de Investigación y Asistencia en Tecnologia y Diseño del Estado de Jalisco;Center for Genetic Engineering and Biotechnology Havana;Universidad Autónoma Metropolitana Unidad Cuajimalpa;Universidade Federal do Parana";"Guadalajara;Havana;Mexico City;Curitiba";"Mexico;Cuba;Mexico;Brazil";9;"Campos-Valdez, Amador Roberto;Casas-Godoy, Leticia;Sandoval, Georgina;Hernández, Lázaro;Sassaki, Guilherme Lanzi;Alencar de Menezes, Leociley Rocha;Campos-Terán, José;Reyes-Duarte, Dolores;Arrizon, Javier";"57226174897;55193463600;7003427602;57570927800;6603017420;57226174876;6507073479;6507155881;9337663900";"60069653;60069653;60069653;60043678;60015043;60015043;60024080;60024080;60069653";2022-01-01;2022;Biocatalysis and Biotransformation;10242422;15393;10292446;Journal;40;2;;133-143;"Fructan fatty acid esters are amphiphilic compounds with potential applications in the food industry due to their surface-active properties on the air/water interface. In this work, the regioselective synthesis of fatty acid esters of short-chain inulin-type fructooligosaccharides (FOS) was carried out in a two-step process comprising sequential enzymatic reactions of transfructosylation and acylation. In the first step, Schedonorus arundinaceus sucrose:sucrose 1-fructosyltransferase (1-SST, EC 2.4.1.99) converted sucrose (600 g/L) into the trisaccharide 1-kestose and the tetrasaccharide nystose in a ratio 9:1 with their sum accounting for 53% (w/w) of total carbohydrates. In the second step, the FOS mixture was transesterified with vinyl laurate in 2-methyl-2-butanol by immobilized Candida antarctica lipase B (CALB) (EC.3.1.1.3). NMR analysis of the synthesized monolaurate FOS esters revealed a regioselective acylation of the 6-OH of the terminal fructosyl moiety of both 1-kestose and nystose. The hydrophilic-lipophilic balance (HLB) values of 6’’-O-lauroyl-1-kestose and 6’’’-O-lauroylnystose were 14.7 and 15.7, respectively; which suggests their use as oil in water (O/W) emulsifiers. The main compound 6’’-O-lauroyl-1-kestose with critical micelle concentration (CMC) of 0.6 mM and surface tension of 45.8 mN/m proved to be a more efficient surfactant than 6’’’-O-lauroylnystose (CMC 5.38 mM) and surface tension 36.26 mN/m). We report a regioselective method for the synthesis of lauryl-FOS using the abundant and renewable resource sucrose as the starting substrate.";acylation | fructooligosaccharides | sequential enzymatic process | sugar esters | Transfructosylation;1;0;;;CONACYT;88887.311742/2018-00;Consejo Nacional de Ciencia y Tecnología
213;2-s2.0-85102729524;10.1080/03949370.2021.1893827;;;Perceived mate competition risk influences the female mate choice and increases the reproductive effort in the annual killifish Millerichthys robustus;ar;Article;Domínguez-Castanedo O.;60010210;Universidad Autónoma Metropolitana Unidad Xochimilco;Mexico City;Mexico;1;Domínguez-Castanedo, Omar;56497887100;60010210;2022-01-01;2022;Ethology Ecology and Evolution;03949370;21490;18287131;Journal;34;2;;107-119;"Female life-history strategies can be sensitive to social context, responding adaptively to current or future mate limitations by reproductive competition conditions. Competitive environments provide the conditions for adjusting reproductive decisions in order to compensate for the negative impacts of competition between individuals, thus maintaining reproductive fitness. This research aimed to test the effect of perceived competition risks for mate choice and their consequences in the reproductive effort of females of the annual killifish Millerichthys robustus induced throughout an audience effect. First, I evaluated the female mate choice using a classic dichotomous preference study based on male size, showing that the females do not show a significant preference for males of any size in a scenario without perceived competition; however, females turn selective under competition risk, choosing the large males. I then evaluated the reproductive effort of females through embryo production without an audience for 10 days, and next with an audience of females for two periods of 10 days. Results showed that females produced significantly more embryos when they perceived a risk of competition. Also, females turn selective under risk of competition, probably due to an increased parental investment expressed by the reduction of the female-male encounters and breeding rate, the increased reproductive effort and the time spent searching a mate. Females that mate with larger males may gain access to more benefits derived from his social status, as best territories and high-quality sites for the spawn, thus increasing the probabilities of survival for the females and their offspring. I propose that, as a life-history strategy to preserve individual fitness, the direction of the sexual selection is modified by the perceived competition risk, and that competition is not necessarily related with the high-cost investments; in fact, it may also have, beneficial effects for the individual female reproductive success.";audience effect | life-history strategies | reproductive cost | reproductive plasticity | sexual selection;1;0;;;;undefined;
214;2-s2.0-85102627160;10.1111/eff.12604;;;Feeding ecology and coexistence dynamics in a community of fishes in a temperate temporary water body;ar;Article;M. Tessy M.C.;60010210;Universidad Autónoma Metropolitana Unidad Xochimilco;Mexico City;Mexico;3;"M. Tessy, Muñoz Campos;Sharon, Valdez Carbajal;Omar, Domínguez Castanedo";"57222403781;57222400333;56497887100";"60010210;60010210;60010210";2022-01-01;January 2022;Ecology of Freshwater Fish;09066691;21449;16000633;Journal;31;1;;1-16;"Temporary water bodies are temporally variable ecosystems supported primarily by rainwater. The biota supported by such water bodies present a range of capacities to remain in this environment for all or part of their life cycles. During floods, temporary pools can connect with permanent streams, promoting changes in trophic networks in the aquatic food webs. The aim of this research was to analyse the feeding ecology of a fish community in a temporary pool near of Tlacotalpan, in the Mexican southeast, in order to understand the dynamics of the feeding habits. First, we identified feeding habits that can be interpreted as guilds of the fishes in the temporary pool: the annual killifish Millerichthys robustus (the only autochthonous species) is planktophagous; Cynodonichthys tenuis and Astyanax aeneus are insectivores; Dormitator maculatus and larvae of amphibians (Lithobates sp.) are mainly detritivorous; and Poecilia mexicana is planktophagous and insectivorous. We then estimated the effect of coexistence on niche breadth and overlap. The niches of M. robustus and P. mexicana evidenced overlap, but the breadth was adjusted inversely, suggesting feeding specialisation in M. robustus in response to competition. We documented the existence of two cohorts of M. robustus; the niche breadth of the first and second cohorts suggesting different strategies probably related to competition under variable conditions. The niche of C. tenuis and A. aeneus, and D. maculatus and tadpoles overlapped, following a pattern of feeding generalisation in response to competition.";annual killifish | feeding competition | gut content | niche breadth | niche overlap;3;0;;;;undefined;
215;2-s2.0-85101250183;10.1080/03949370.2021.1883121;;;Male mate choice in the annual killifish Millerichthys robustus and its relationship with female polymorphism, size and fecundity;ar;Article;Domínguez-Castanedo O.;"60071612;60010210;101891032";"Universidad de la Republica;Universidad Autónoma Metropolitana Unidad Xochimilco;A.I.K. Associazione Italiana Killifish";"Montevideo;Mexico City;Reggio Emilia";"Uruguay;Mexico;Italy";5;"Domínguez-Castanedo, Omar;Muñoz-Campos, Tessy M.;Valdesalici, Stefano;Valdez-Carbajal, Sharon;Passos, Carlos";"56497887100;57210565712;14018741200;57222058580;35760421500";"60010210;60010210;101891032;60010210;60071612";2022-01-01;2022;Ethology Ecology and Evolution;03949370;21490;18287131;Journal;34;1;;51-65;In the classic theory of sexual roles, females are more careful in their choice of a mate because their reproductive investment is relatively higher. However, increasing evidence shows that males can also be choosy. Mate choice can be based on physical characteristics, such as body size and color ornaments, which have been documented as factors that also influence the maintenance of polymorphism. Here, we experimentally tested whether males of the annual killifish Millerichthys robustus preferentially choose females according to variations in ocelli number on the base of the caudal fin, or according to body size, in classical dual decision experiments. We demonstrated that there is a strong preference of the males of M. robustus for females with greater numbers of ocelli on the base of the caudal fin (females with 5–7 versus 1–2 ocelli) and for females of larger body size. We also tested whether female body size or number of ocelli are linked to higher fecundity or increased egg size, quantifying the number of embryos produced by the females of each experimental group and measuring the size of their eggs. Our results revealed that large females with more ocelli produced more and larger eggs than large females with fewer ocelli, and than small females regardless of the number of ocelli. These results may suggest that males of M. robustus that choose large-sized females can mate with genetic quality in parameters directly related to biological success, such as higher egg production of large-sized eggs. This is probably related to a higher hatching percentage, and larger subsequent larvae with rapid growth rates. We therefore propose that large body size and high number of ocelli on the base of the caudal fin in females could have evolved through male mate choice.;body size | color-polymorphism | eyespots | male mate choice | sexual selection;2;0;;;;undefined;
216;2-s2.0-85099874761;10.1080/15569543.2020.1870497;;;Metalloproteinases and NAD(P)H-dependent oxidoreductase within of Bay nettle (Chrysaora chesapeakei) venom;ar;Article;Becerra-Amezcua M.P.;60014923;Universidad Autónoma Metropolitana;Mexico City;Mexico;6;"Becerra-Amezcua, Mayra Pamela;Rincón-Guevara, Mónica Alejandra;Hernández-Calderas, Irma;Guzmán-García, Xochitl;Guerrero-Legarreta, Isabel;González-Márquez, Humberto";"57133207400;57193608846;57217163328;56000890600;55989647900;7801445359";"60014923;60014923;60014923;60014923;60014923;60014923";2022-01-01;2022;Toxin Reviews;15569543;130089;15569551;Journal;41;1;;280-289;"The venom of jellyfish has been a source of biologically active substances, so it is interesting to study the components of the venom of Chrysaora chesapeakei from the estuaries of the Gulf of Mexico. Proteomic techniques in this study identified the most abundant venom proteins (100, 50, and 37 kDa). Homology searches suggest that the main toxins in this venom correspond to metalloproteinase-zinc disintegrin, astacin-type metalloprotease, and NAD (P) H-dependent oxidoreductases, which could be responsible for the main effects of this jellyfish venom; The tentacles were also identified as containing nonpoisonous metalloproteinases in connective tissue.";Astacin-like metalloprotease | Chrysaora | metalloproteinase-disintegrin | NAD(P)H-dependent oxidoreductases | venom;0;0;;;;undefined;
217;2-s2.0-85090982771;10.1080/10408398.2020.1813683;;32914656;Human milk oligosaccharides as bioactive compounds in infant formula: recent advances and trends in synthetic methods;re;Review;Pérez-Escalante E.;"60028381;60027135";"Universidad Autónoma Metropolitana -Unidad Iztapalapa;Universidad Autónoma del Estado de Hidalgo";"Iztapalapa;Pachuca";"Mexico;Mexico";8;"Pérez-Escalante, Emmanuel;Alatorre-Santamaría, Sergio;Castañeda-Ovando, Araceli;Salazar-Pereda, Verónica;Bautista-Ávila, Mirandeli;Cruz-Guerrero, Alma Elizabeth;Flores-Aguilar, Juan Francisco;González-Olivares, Luis Guillermo";"57200992073;17344920200;56002704800;6507500958;24467359100;6506493418;57186592900;43660968100";"60027135;60028381;60027135;60027135;60027135;60028381;60027135;60027135";2022-01-01;2022;Critical Reviews in Food Science and Nutrition;10408398;21955;15497852;Journal;62;1;;181-214;Human milk oligosaccharides (HMO) have attracted great interest in recent years due to their role in boosting infants and adults health. According to several in vitro, in vivo and clinical studies, gastrointestinal and immune physiological systems benefit the most from HMO intake. Other organ systems, such as the respiratory, central nervous, circulatory, locomotor, and urinary systems have also been found to be affected by the HMO consumption in the recent decade. Due to their positive impact on human health, the incorporation of HMO into the infant formula or other functional foods has become highly desirable. Currently, their large-scale production is limited to 2’-fucosyllactose (2’FL) and lacto-N-neotetraose (LNnT) that are obtained through fermentation and added to the infant formula as fortifiers. Fewer advances have been made for other HMO to reach the industrial scale synthesis. The present paper summarizes the latest research on HMO in terms of their health benefits and synthetic methodologies, with the overall aim to establish the current status and trends in both fields.;Bioactive oligosaccharides | functional foods | health benefits | human milk | infant formula | synthetic production;16;0;;;CONACYT;241333;Consejo Nacional de Ciencia y Tecnología
218;2-s2.0-85122793798;;;;EVALUATION OF THE ANTIBACTERIAL ACTIVITY OF SALVIA PURPUREA CAV.;ar;Article;Velasco-Lezama R.;60014923;Universidad Autónoma Metropolitana;Mexico City;Mexico;5;"Velasco-Lezama, Rodolfo;Quintero-Reyes, Maritza;Tapia-Aguilar, Rafaela;Cerón-Ramírez, Reyna;Santana-Carrillo, Jorge";"6506434505;57412124900;9435298500;57411992600;57411717200";"60014923;60014923;60014923;60014923;60014923";2021-12-30;30 December 2021;Pharmacologyonline;;5800179590;18278620;Journal;3;;;413-420;"Salvia purpurea Liebm. (Labiateae) is popularly used against gastrointestinal and skin infections. The antibacterial activity of Salvia purpurea Liebm. was evaluated using the resazurin method. The plant was collected in the State of Mexico, left to dry, and the flowers and a mixture of the flowers–leaves and of the flowers–leaves–stems were ground and macerated consecutively in hexane, dichloromethane, methanol, and water for 48 h. A solution of 10 mg/mL was prepared and dilutions were performed and added to crops with 4 x 106 Colony-Forming Units [CFU]/mL, resazurin sodium (0.675%), and Mueller–Hinton medium. The bacteria used were: Bacillus subtilis; Staphylococcus aureus; Escherichia coli; Salmonella typhimurium; Shigella flexneri; Salmonella typhi, and Proteus mirabilis. As negative and positive control, 0.8% DMSO and Penicillin-Streptomycin solution were used, respectively. The cultures were incubated for 20 h at 37°C. The hexanic extracts of flower and flower–leaf inhibited the growth of S. aureus and B. subtilis, the latter presenting the lowest Minimal Inhibitory Concentration (MIC) 0.041 mg/mL. The leaf–flower methanolic extract showed the greatest activity by inhibiting S. aureus, B. subtilis, P. mirabilis, and S. typhi with an MIC of 0.33-2.66 mg/mL. The aqueous extract of either material inhibited P. mirabilis and S. typhi at concentrations ranging from 0. 33-1.33 mg/ mL. The dichloromethane extract of flower or leaf–flower inhibited only B. subtilis. The growth of S. typhimurium, S. flexneri, and E. coli was not inhibited by any extract. The results support the use of the plant against gastrointestinal infections.";Antibacterial activity | Enterobacteria | Sage;0;0;;;IPN;undefined;Instituto Politécnico Nacional
219;2-s2.0-85121682942;10.3389/fcell.2021.695723;;;Regulation of miRNAs Expression by Mutant p53 Gain of Function in Cancer;re;Review;Madrigal T.;"60095231;60031335;60028381;60024080;60019825;60013259";"Instituto Nacional de Medicina Genómica;Universidad Autonoma de San Luis Potosi;Universidad Autónoma Metropolitana -Unidad Iztapalapa;Universidad Autónoma Metropolitana Unidad Cuajimalpa;Instituto Nacional de Cancerologia, México;Instituto de Investigaciones Biomedicas de la UNAM";"Mexico City;San Luis Potosí;Iztapalapa;Mexico City;Tlalpan;Mexico City";"Mexico;Mexico;Mexico;Mexico;Mexico;Mexico";9;"Madrigal, Tzitzijanik;Hernández-Monge, Jesús;Herrera, Luis A.;González-De la Rosa, Claudia Haydée;Domínguez-Gómez, Guadalupe;Candelaria, Myrna;Luna-Maldonado, Fernando;Calderón González, Karla G.;Díaz-Chávez, José";"57385713500;55879376700;16071858700;56000860200;40361042400;8850283300;57190295794;34970867600;23569516700";"60013259-60028381;60031335;60013259-60095231;60024080;60019825;60019825;60013259;60031335;60013259";2021-12-06;6 December 2021;Frontiers in Cell and Developmental Biology;;21100826277;2296634X;Journal;9;;695723;;"The p53 roles have been largely described; among them, cell proliferation and apoptosis control are some of the best studied and understood. Interestingly, the mutations on the six hotspot sites within the region that encodes the DNA-binding domain of p53 give rise to other very different variants. The particular behavior of these variants led to consider p53 mutants as separate oncogene entities; that is, they do not retain wild type functions but acquire new ones, namely Gain-of-function p53 mutants. Furthermore, recent studies have revealed how p53 mutants regulate gene expression and exert oncogenic effects by unbalancing specific microRNAs (miRNAs) levels that provoke epithelial-mesenchymal transition, chemoresistance, and cell survival, among others. In this review, we discuss recent evidence of the crosstalk between miRNAs and mutants of p53, as well as the consequent cellular processes dysregulated.";cancer | gain of function | miRNA biogenesis | miRNAs | mutant p53;3;1;repositoryvor;Green;CONACYT;168896;Consejo Nacional de Ciencia y Tecnología
